Mon1,Mon2,Mon3
8.5,10,9.5
8.5,9.5,9.75
8.5,9.5,9.75
8.25,10,9
8,10,9.5
8.5,9.25,9.75
8.5,10,8.25
8.5,9.5,9.25
8.25,9.5,9.5
8.5,9.5,9
8,10,9
8.5,9.25,9.25
7.5,10,9.75
8.5,9.5,8.75
8,9.5,9.75
8,9.5,9.75
8.5,9,9.75
8,9.5,9.5
8.5,9.25,9
7.75,10,9
8,10,8.5
8.25,9.5,9
8,9.5,9.25
7.75,9.5,9.75
9,8.75,8.75
7.75,9.5,9.75
8.25,9.25,9.25
8.25,9.5,8.75
8,9.25,9.5
8.5,9,9
7.75,9.5,9.5
8.75,9,8.5
8.75,9.5,7.25
8.75,8.75,8.75
7.5,9.5,9.75
8.5,8.5,9.75
8,9.25,9.25
7,10,9.75
8.25,9.5,8.25
8.5,8.5,9.75
8,9,9.5
8,9.5,8.5
7.5,9.75,9
7.75,9.5,9
8,9,9.5
8.25,9.25,8.5
7.5,9.5,9.5
7.75,9.5,9
7.5,9.25,9.75
7.5,9.5,9.25
7.75,9.25,9.25
7.5,9.5,9.25
8.5,8.5,9.25
8,9.5,8
8,9.5,8
8.25,8.5,9.5
7.25,9.5,9.5
8.25,9,8.5
7.5,9.5,9
8.5,8.25,9.5
9,8.75,7.5
8.75,8.75,8
8.25,8.75,9
8,9,8.75
8.25,8.75,8.75
8.5,8.5,8.75
6.75,10,9.25
7.5,9.5,8.75
7.75,8.75,9.75
7.5,9.5,8.75
8.5,8.75,8.25
8.5,8.75,8.25
7.75,8.75,9.75
8.5,8.75,8.25
7.5,9.5,8.75
8.5,8.25,9
8.25,8.5,9
8.25,8.25,9.5
7.75,9.5,8
8,9.25,8
8.25,8.5,9
8.5,8.5,8.5
7.75,8.5,10
7.75,9.25,8.5
8,8.75,9
7.5,9.5,8.5
7.75,9,9
8,8.5,9.5
8.25,9.5,7
8,8.75,9
8,9.5,7.25
8.5,8.5,8.25
7.5,9,9.25
7.75,9,8.75
7.5,9.5,8.25
8,9.5,7.25
8.25,9.5,6.75
8,8.75,8.75
8,9,8.25
8.25,8.5,8.5
8.5,8.25,8.5
8,8.75,8.5
7.75,8.75,9
8,8.75,8.5
7,9.5,9
8,8.75,8.5
8,8.5,9
8,8.25,9.25
8.25,8.5,8.25
8,8.75,8.25
7.75,8.5,9.25
8,8.5,8.75
7.75,8.75,8.75
8.25,8.5,8.25
7.25,9,9.25
7.25,8.75,9.75
7.5,9,8.75
8,8.5,8.75
7.75,8.75,8.75
8.25,8.5,8.25
8.5,8.25,8.25
8.25,8.25,8.75
8,8.5,8.75
7.5,9,8.75
7.25,9.25,8.75
8,8.5,8.75
8.75,8.25,7.75
7.5,8.75,9
8,8.75,8
8,8.25,9
8,8.5,8.5
6.5,9.5,9.5
8,9,7.5
7.5,8.5,9.5
8.5,8.5,7.5
8,8.75,8
7.5,8.75,9
7,9.25,9
6.5,9.5,9.5
7.75,8.5,9
7.75,8.75,8.5
8,9,7.5
7.5,8.75,9
8,8.75,8
8,9.25,7
8.25,8,8.75
7.75,9.5,6.75
7.25,10,6.75
7,9.5,8.25
8.25,8.75,7.25
8,8,9.25
7.5,9,8.25
7.25,9.5,7.75
7.75,8.5,8.75
7.5,8.5,9.25
8,8.75,7.75
7.75,8.5,8.75
7.5,8.75,8.75
6.75,9.5,8.75
7.5,8.5,9.25
7.5,8.75,8.75
8,8.5,8.25
7.75,8.5,8.75
9,7,9.25
7.5,9,8
8,7.75,9.5
8,8.75,7.5
7.5,8.75,8.5
7,8.75,9.5
7.5,8.5,9
8.25,8.5,7.5
7.75,8.25,9
7.75,8.25,9
7.25,8.75,9
7.5,8.5,9
8,8.75,7.5
7.75,9.5,6.5
8,8.5,8
7.25,8.75,9
7.75,8.75,8
7.75,8.5,8.5
7.75,8.5,8.5
7,9,9
8,8.25,8.5
6.5,9,9.75
7,8.75,9.25
7.25,8.5,9.25
7.75,8.5,8.25
8,8.25,8.25
7.5,8.5,8.75
7.5,8.75,8.25
8,8.25,8.25
7.75,8.5,8.25
8.25,8.25,7.75
7.25,8.75,8.75
8,8.75,7.25
8.25,8,8.25
7,9,8.75
6.75,9.5,8.25
7.5,8.5,8.75
7.75,8.5,8.25
8.25,8,8.25
8.5,8.25,7.25
8,8.5,7.5
7.75,9,7
7.5,8.25,9
7.25,8.25,9.5
8,8,8.5
7.25,8.75,8.5
7.5,8.75,8
8,8,8.5
6.75,9,9
8,8.75,7
8.25,8.25,7.5
8,8.25,8
8,8.25,8
8.5,8.25,7
7.25,8.75,8.5
6.5,9.5,8.25
7.75,8.75,7.25
7,9.25,7.75
7.5,8.25,8.75
8.25,7.5,8.75
8,8,8.25
7.25,9,7.75
7.25,8.25,9.25
7,9,8.25
8,8.5,7.25
8,8,8.25
7,8.75,8.75
7.75,8.25,8.25
7.75,8.25,8
7,8.5,9
7.5,7.75,9.5
6.5,8.75,9.5
6.75,9.5,7.5
7.25,8.75,8
7.75,8.5,7.5
7,8.5,9
7,8.75,8.5
7.5,8.25,8.5
6.5,9.25,8.5
8,7.5,9
7.5,8.75,7.5
8,8.75,6.5
7.25,8.5,8.25
7.75,8.25,7.75
7.5,8.25,8.25
8,9,5.75
7,8.5,8.75
7,9,7.75
7,8.5,8.75
6.5,8.75,9.25
7.5,8.25,8.25
6.25,8.75,9.75
7.5,8.5,7.75
7.75,8.25,7.75
6.75,8.5,9.25
7.25,8.5,8.25
8,8.75,6.25
8,7.5,8.5
6,9,9.5
7,8.25,9
8,8,7.5
7.25,8.5,8
8,8,7.5
7.5,8.25,8
7.5,8.5,7.5
7.75,7.75,8.5
6.5,9,8.5
7.25,8.75,7.5
7.5,7.5,9.5
7.5,7.75,8.75
6.5,8.75,8.75
8,8,7.25
7.75,8.25,7.25
7.5,8,8.25
7.5,8.25,7.75
8,8,7.25
8.5,7.75,6.75
7.25,8,8.75
8,8.25,6.75
8,8.75,5.75
7.5,8,8
7.5,8.5,7
6.75,8,9.5
8,8.25,6.5
7.25,8.25,8
7.75,8.25,7
6.5,8.5,9
8.25,7,8.5
6.75,8.5,8.5
6.75,8.5,8.5
7.5,8.25,7.5
8,8.25,6.5
7.25,8.25,7.75
6.5,8.5,8.75
6.25,8.75,8.75
6.75,8.25,8.75
7.75,8,7.25
7.75,8.5,6.25
7.75,7.5,8.25
7,8.25,8.25
7.25,8,8.25
7.25,8.5,7.25
7.5,7.25,9.25
6.5,8.75,8.25
7.5,8.75,6.25
7.75,7.5,8.25
7.25,8.5,7
7,8.25,8
6.5,8.25,9
6.5,8.25,9
7.75,7.25,8.5
7.75,7.25,8.5
7.5,8.75,6
6.75,8.5,8
8,7,8.5
6.5,8.75,8
6,9.25,8
7.5,8.25,7
6.5,8.75,8
7,8.75,7
8.25,7.25,7.5
7.25,8.5,7
7,8.75,7
7.5,8,7.5
8,7.75,6.75
8,8,6.25
7.75,7.75,7.25
5.25,9.25,9.25
5.75,9.25,8.25
6,8.5,9.25
8,7,8.25
6,9,8.25
7,8,8.25
5.75,8.75,9
5.25,9.5,8.5
7.5,7.25,8.5
8,8.5,5
8,7.5,7
7.25,7.25,9
7.25,7.75,8
6,8.5,9
7.5,7.5,8
7.5,8.5,6
8,8,6
6,8.5,8.75
7.75,8,6.25
6.25,8.75,7.75
7,9,5.75
7.25,7.75,7.75
8.5,6,8.75
7.5,7,8.75
6.25,8.75,7.75
7,7.75,8
6.25,8.5,8
7.25,7.5,8
5.75,8.75,8.5
8,6.75,8
6.25,8.5,8
8,8.25,5
7.25,8,7
7.75,8,6
8,7.5,6.5
7,8.5,6.5
7.75,7,7.75
6.75,8.25,7.25
6,8.75,7.75
6.5,8.75,6.75
7,7,9.25
6,8.25,8.75
7.75,8.25,5.25
5.5,8.5,9.25
6.5,8.5,7.25
7.5,7.25,7.75
6.5,8.5,7.25
6,8.75,7.75
6,8.5,8.25
7.5,7,8
8,6.75,7.5
8,6,9
8.25,7.5,5.5
5.5,8.5,9
6.75,8,7.5
6.25,8,8.25
7.75,6.75,7.75
6.75,8,7.25
6.25,8,8.25
7,7,8.75
7,7.25,8.25
7.5,8.25,5.25
6.25,8.75,6.75
6.25,8.75,6.75
6,8,8.75
7,7.5,7.5
6,8.25,8
7,8.25,6
6.5,8,7.5
4.75,9.25,8.5
7.5,8,5.5
7.25,8.25,5.5
6.5,8.25,6.75
5.5,8.5,8.25
7,7.25,7.75
7,8,6.25
6.75,7,8.75
8,5.75,8.5
7.5,8,5
6.25,7.5,8.5
7,7.5,7
5,8.75,8.5
7,8,6
7.25,6.75,7.75
7.25,8.75,3.75
6.5,8.5,5.75
5.5,8.25,8.25
6,7.75,8.25
6.5,7.75,7.25
6.75,7,8
5,9,7.5
6.25,8,7
8,6,7.5
6,8.75,5.75
6.75,6.25,9.25
7,7,7.25
7.75,6.5,6.75
5,8.25,8.75
6,8.25,6.75
5.5,8.25,7.5
6.5,7.75,6.5
6.75,7.25,7
8,5.75,7.5
7,8,5
7,8,5
6,8,7
5,9.5,6
6.5,7,7.75
6,8.5,5.75
6.5,7.25,7.25
6.5,7,7.75
8,7.5,3.75
6.25,8.75,4.5
4.75,8.5,8
5,8.25,8
7,8,4.5
6,8.25,5.75
6.5,7.75,5.75
6.75,6.5,7.5
6,8.25,5.25
6,7.25,7.25
7,8,3.75
7.25,5.75,7.75
5,8.25,7
6,6.75,8
5,8.25,7
6,7,7.25
6,7.75,5.75
7.25,8.25,2.25
6.25,7,6.5
8.75,5,5.5
5.25,7.75,6.75
5,7.5,7.75
6.5,6.25,7.25
6.25,7,6.25
7.75,4.75,7.75
5.75,6.5,8
6.75,7,5
5.75,6,9
7,7.25,3.75
7.25,7,3.75
6,6,8
7.75,6.75,3
6.5,7.25,4.5
4.5,7.5,7.75
6,6.25,7.25
5.5,6.5,7.75
5.5,7.75,5
5,7,7.25
4.75,7.75,6.25
6.5,4.25,9.75
6.75,7.25,3
7,6,5
6.5,5.75,6
5.75,6,6.75
6.25,6.75,4.25
7,6.25,3.5
5,5.75,8.5
4.25,7.5,6.25
2.5,8.5,7.75
5.25,6.75,5
1.75,9,7.25
5,5.5,7.75
3.25,8.25,5.5
3.75,7,7
6.5,5.5,4.5
2.75,5,6
3.75,5,1.75
